"text";"label"
"Пил компот из вишни перед анализом";"нарушение_диеты"
"Случайно выпил выпил анальгин";"прием_лекарств"
"Случайно пил морс";"нарушение_диеты"
"Я принимал выпил лекарство от кашля";"прием_лекарств"
"Доктор, я выпил феназепам, это не повлияет?";"прием_лекарств"
"Извините, я ел хлопья с молоком";"нарушение_диеты"
"Ой, я съел печенье, это плохо?";"нарушение_диеты"
"Съел чизкейк перед анализом";"нарушение_диеты"
"Я  мюсли с молоком";"нарушение_диеты"
"Случайно пил кофе без сахара, но всё равно";"нарушение_диеты"
"Пью антикоагулянт варфарин";"прием_лекарств"
"Пил антацид от изжоги, это нормально?";"прием_лекарств"
"Ел кускус натощак";"нарушение_диеты"
"Ой, я съел бутерброд с колбасой, это плохо?";"нарушение_диеты"
"Случайно выпил выпил успокоительное на ночь";"прием_лекарств"
"Я принимал выпил успокоительное на ночь";"прием_лекарств"
"Можно ли, если я ел гречку с маслом?";"нарушение_диеты"
"Ой, я ел драники, это плохо?";"нарушение_диеты"
"Извините, я выпил фрэш";"нарушение_диеты"
"Извините, я выпил тоник";"нарушение_диеты"
"Ел пасту на ужин, это нормально?";"нарушение_диеты"
"Я нарушил диету: выпил ряженку";"нарушение_диеты"
"Принимал антигистаминные вчера, это нормально?";"прием_лекарств"
"Выпил капучино натощак";"нарушение_диеты"
"Принимал метформин";"прием_лекарств"
"Извините, я ел омлет";"нарушение_диеты"
"Принимаю пью гипотензивные постоянно";"прием_лекарств"
"Выпил спазмоветрин вчера вечером";"прием_лекарств"
"Случайно выпил выпил но-шпу";"прием_лекарств"
"Ой, я выпил стакан апельсинового сока, это плохо?";"нарушение_диеты"
"Доктор, я пью таблетки от простатита, это не повлияет?";"прием_лекарств"
"Извините, я пил чай с молоком и сахаром";"нарушение_диеты"
"Выпил дротаверин перед анализом";"прием_лекарств"
"Я принимал принимал миорелаксант";"прием_лекарств"
"Доктор, я выпил свечи с папаверином, это не повлияет?";"прием_лекарств"
"Ел кабачковую икру, это нормально?";"нарушение_диеты"
"Извините, я съел хлеб с маслом и сыром";"нарушение_диеты"
"Съел суши перед анализом";"нарушение_диеты"
"Извините, я выпил коэнзим q10";"прием_лекарств"
"Случайно выпил пью гипотензивные";"прием_лекарств"
"Выпил коэнзим Q10";"прием_лекарств"
"Выпил капучино перед анализом";"нарушение_диеты"
"Выпил экстракт валерианы утром";"прием_лекарств"
"Съел чизкейк, это нормально?";"нарушение_диеты"
"Пью таблетки от простатита перед анализом";"прием_лекарств"
"Извините, я выпил успокоительное на ночь";"прием_лекарств"
"Я нарушил диету: ел творожную запеканку";"нарушение_диеты"
"Ой, я съел плюшку, это плохо?";"нарушение_диеты"
"Я пил гранатовый сок";"нарушение_диеты"
"Доктор, я принимал омез, это не повлияет?";"прием_лекарств"
"Ой, я выпил газировку с красителями, это плохо?";"нарушение_диеты"
"Выпил спазмалгон утром";"прием_лекарств"
"Ел овсяную кашу с сахаром перед анализом";"нарушение_диеты"
"Ой, я пил молоко перед анализом, это плохо?";"нарушение_диеты"
"Случайно ел омлет";"нарушение_диеты"
"Пил компот";"нарушение_диеты"
"Извините, я выпил супрастин";"прием_лекарств"
"Пил бабл чай, это нормально?";"нарушение_диеты"
"Я принимал пью слабительное";"прием_лекарств"
"Выпил таблетку от бессонницы";"прием_лекарств"
"Выпил мочегонное средство перед анализом";"прием_лекарств"
"Ой, я выпил ряженку, это плохо?";"нарушение_диеты"
"Выпил цинк утром";"прием_лекарств"
"Пью слабительное";"прием_лекарств"
"Принимал аспирин кардио вчера вечером";"прием_лекарств"
"Выпил энергетик без сахара за час до сдачи";"нарушение_диеты"
"Я принимал выпил дротаверин";"прием_лекарств"
"Съел банан за час до сдачи";"нарушение_диеты"
"Пил кофе без сахара, но всё равно, это нормально?";"нарушение_диеты"
"Съел сушку с маком, это нормально?";"нарушение_диеты"
"Случайно выпил капучино";"нарушение_диеты"
"Принимал омез вчера вечером";"прием_лекарств"
"Я принимал принимал обезболивающее на ночь";"прием_лекарств"
"Пил тёплое молоко перед анализом";"нарушение_диеты"
"Съел кекс";"нарушение_диеты"
"Принимал нейролептики";"прием_лекарств"
"Можно ли, если я выпил ренни?";"прием_лекарств"
"Случайно ел кускус";"нарушение_диеты"
"Ел рис с рыбой перед анализом";"нарушение_диеты"
"Пил морс";"нарушение_диеты"
"Выпил супрадин перед анализом";"прием_лекарств"
"Я выпил кофе перед сдачей крови";"нарушение_диеты"
"Ел салат оливье на ночь натощак";"нарушение_диеты"
"Выпил ряженку натощак";"нарушение_диеты"
"Принимал миорелаксант накануне";"прием_лекарств"
"Съел бутерброд за час до сдачи";"нарушение_диеты"
