"text";"label";"test_name"
"Я выпил кофе за час до сдачи ОАК";"нарушение_диеты";"общий анализ крови"
"Позавтракал утром перед анализом";"нарушение_диеты";"общий анализ крови"
"Выпил стакан апельсинового сока за 2 часа";"нарушение_диеты";"общий анализ крови"
"Съел яблоко перед походом в лабораторию";"нарушение_диеты";"общий анализ крови"
"Пил чай с сахаром утром";"нарушение_диеты";"общий анализ крови"
"Ел на завтрак бутерброд за час до сдачи";"нарушение_диеты";"общий анализ крови"
"Выпил колу перед анализом";"нарушение_диеты";"общий анализ крови"
"Употребил алкоголь накануне вечером";"нарушение_диеты";"общий анализ крови"
"Плотно поужинал поздно ночью";"нарушение_диеты";"общий анализ крови"
"Съел шоколадку за 30 минут до визита";"нарушение_диеты";"общий анализ крови"
"Пил молоко утром перед анализом";"нарушение_диеты";"общий анализ крови"
"Ел суп на завтрак, не выдержал диету";"нарушение_диеты";"общий анализ крови"
"Выпил энергетик перед сдачей";"нарушение_диеты";"общий анализ крови"
"Съел банан перед лабораторией";"нарушение_диеты";"общий анализ крови"
"Пил кофе с молоком, очень хотелось";"нарушение_диеты";"общий анализ крови"
"Позавтракал кашей, хотя просили натощак";"нарушение_диеты";"общий анализ крови"
"Выпил сок из пакета за 1,5 часа";"нарушение_диеты";"общий анализ крови"
"Ел картошку вечером, но думал можно";"нарушение_диеты";"общий анализ крови"
"Пил газировку утром";"нарушение_диеты";"общий анализ крови"
"Съел печенье перед выходом";"нарушение_диеты";"общий анализ крови"
"Вчера вечером принимал ибупрофен от головы";"прием_лекарств";"общий анализ крови"
"Пью антибиотик амоксициллин третий день";"прием_лекарств";"общий анализ крови"
"Выпил таблетку аспирина накануне";"прием_лекарств";"общий анализ крови"
"Принимал парацетамол от температуры вчера";"прием_лекарств";"общий анализ крови"
"Пью противозачаточные таблетки ежедневно";"прием_лекарств";"общий анализ крови"
"Выпил таблетку от давления утром";"прием_лекарств";"общий анализ крови"
"Принимал диклофенак для суставов";"прием_лекарств";"общий анализ крови"
"Пью статины от холестерина постоянно";"прием_лекарств";"общий анализ крови"
"Принимала витамины с железом вчера";"прием_лекарств";"общий анализ крови"
"Выпил обезболивающее на ночь";"прием_лекарств";"общий анализ крови"
"Врач назначил антигистаминные, я их пью";"прием_лекарств";"общий анализ крови"
"Принимал гормональные таблетки вчера";"прием_лекарств";"общий анализ крови"
"Выпил мочегонное средство утром";"прием_лекарств";"общий анализ крови"
"Пью антидепрессанты постоянно";"прием_лекарств";"общий анализ крови"
"Принимал противовоспалительное на неделе";"прием_лекарств";"общий анализ крови"
"Выпил альмагель от изжоги вчера";"прием_лекарств";"общий анализ крови"
"Пью контрацептивы, это важно?";"прием_лекарств";"общий анализ крови"
"Принимал сорбенты перед анализом";"прием_лекарств";"общий анализ крови"
"Выпил антацид за 3 часа до сдачи";"прием_лекарств";"общий анализ крови"
"Принимал БАДы с железом, это повлияет?";"прием_лекарств";"общий анализ крови"
"Я строго соблюдал голодание 12 часов, ничего не пил кроме воды";"соблюдение_правил";"общий анализ крови"
"Голодал с вечера до утра, как вы сказали";"соблюдение_правил";"общий анализ крови"
"Не ел и не пил ничего сладкого, всё честно";"соблюдение_правил";"общий анализ крови"
"Подготовился по всем правилам: ничего кроме воды";"соблюдение_правил";"общий анализ крови"
"Соблюдал диету целый день, ничего лишнего";"соблюдение_правил";"общий анализ крови"
"Был натощак 10 часов, сдаю по всем правилам";"соблюдение_правил";"общий анализ крови"
"Не пил кофе, не ел, соблюдал режим";"соблюдение_правил";"общий анализ крови"
"Всё сделал как в памятке, надеюсь, всё ок";"соблюдение_правил";"общий анализ крови"
"Голодал всю ночь, не завтракал, вода только";"соблюдение_правил";"общий анализ крови"
"Ничего не нарушал, пришел натощак";"соблюдение_правил";"общий анализ крови"
"Подготовку прошёл строго, жду направление";"соблюдение_правил";"общий анализ крови"
"Не пил, не ел, чистая вода – всё как просили";"соблюдение_правил";"общий анализ крови"
"Честно выполнил все рекомендации";"соблюдение_правил";"общий анализ крови"
"Соблюдал пост, ничего не перекусывал";"соблюдение_правил";"общий анализ крови"
"Голодный с восьми вечера, пришёл сдавать";"соблюдение_правил";"общий анализ крови"
"Всё хорошо, я подготовился идеально";"соблюдение_правил";"общий анализ крови"
"Не ел 13 часов, можно сдавать?";"соблюдение_правил";"общий анализ крови"
"Полностью соблюдал инструкцию лаборанта";"соблюдение_правил";"общий анализ крови"
"Ничего не нарушал, надеюсь на хороший результат";"соблюдение_правил";"общий анализ крови"
"Подготовился, как вы сказали, натощак";"соблюдение_правил";"общий анализ крови"
"Можно ли пить воду перед сдачей ОАК?";"общий_вопрос";"общий анализ крови"
"Сколько часов нужно голодать перед общим анализом?";"общий_вопрос";"общий анализ крови"
"А кофе можно выпить утром или нельзя?";"общий_вопрос";"общий анализ крови"
"Какие лекарства нельзя принимать перед ОАК?";"общий_вопрос";"общий анализ крови"
"Влияет ли курение на результаты общего анализа?";"общий_вопрос";"общий анализ крови"
