text;label
"Я выпил кофе перед сдачей ОАК";"нарушение_диеты"
"Пил чай с сахаром утром";"нарушение_диеты"
"Съел яблоко за час до анализа";"нарушение_диеты"
"Позавтракал перед походом в лабораторию";"нарушение_диеты"
"Выпил стакан апельсинового сока за 2 часа до сдачи";"нарушение_диеты"
"Ел шоколадку натощак";"нарушение_диеты"
"Пил молоко перед анализом";"нарушение_диеты"
"Плотно поужинал поздно ночью";"нарушение_диеты"
"Выпил колу перед сдачей крови";"нарушение_диеты"
"Употребил алкоголь накануне";"нарушение_диеты"
"Съел бутерброд утром";"нарушение_диеты"
"Выпил энергетик перед визитом";"нарушение_диеты"
"Ел фрукты, думая что можно";"нарушение_диеты"
"Перекусил печеньем за 30 минут";"нарушение_диеты"
"Пил кофе с молоком, не подумал";"нарушение_диеты"
"Съел банан перед лабораторией";"нарушение_диеты"
"Пил горячий шоколад за час до анализа";"нарушение_диеты"
"Позавтракал кашей, хотя просили натощак";"нарушение_диеты"
"Съел булочку по дороге в больницу";"нарушение_диеты"
"Выпил смузи утром";"нарушение_диеты"
"Ел чипсы на ночь";"нарушение_диеты"
"Пил газировку перед сдачей";"нарушение_диеты"
"Съел йогурт перед анализом";"нарушение_диеты"
"Пил томатный сок за 3 часа";"нарушение_диеты"
"Ел омлет на завтрак";"нарушение_диеты"
"Выпил какао перед выходом";"нарушение_диеты"
"Съел творог утром";"нарушение_диеты"
"Пил компот из сухофруктов";"нарушение_диеты"
"Ел мюсли с молоком";"нарушение_диеты"
"Выпил латте перед анализом";"нарушение_диеты"
"Съел блин со сгущёнкой";"нарушение_диеты"
"Пил морс перед сдачей";"нарушение_диеты"
"Ел суп на завтрак";"нарушение_диеты"
"Выпил кефир на ночь";"нарушение_диеты"
"Съел пирожок по дороге";"нарушение_диеты"
"Пил лимонад утром";"нарушение_диеты"
"Ел овсяную кашу с сахаром";"нарушение_диеты"
"Выпил ряженку перед визитом";"нарушение_диеты"
"Съел вафлю с шоколадом";"нарушение_диеты"
"Пил чай с молоком и сахаром";"нарушение_диеты"
"Ел жареную картошку вечером";"нарушение_диеты"
"Выпил сок из пакета за час";"нарушение_диеты"
"Съел бутерброд с колбасой";"нарушение_диеты"
"Пил кофе без сахара, но всё равно пил";"нарушение_диеты"
"Ел манную кашу на завтрак";"нарушение_диеты"
